<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BCPG,20200102,16.3,16.7,16.2,16.7,4156100
BCT,20200102,39.25,40.5,39.25,40,1100
BDMS,20200102,26,26.25,25.75,26.25,17581200
BEAUTY,20200102,1.69,1.85,1.69,1.84,92840400
BEC,20200102,5.9,6.05,5.9,6,2398800
BEM,20200102,10.9,11.1,10.9,10.9,33753400
BFIT,20200102,32.25,32.5,31.75,32,204400
BGC,20200102,13.7,13.9,13.5,13.6,2510500
BGRIM,20200102,52.5,53.25,52.5,53,6092200
BGT,20200102,1,1,0.99,0.99,1500
BH,20200102,147.5,147.5,145.5,146.5,829600
BIG,20200102,0.53,0.53,0.51,0.52,2460900
BIZ,20200102,2.94,2.98,2.92,2.92,99300
BJC,20200102,42,42.5,41,41,9205600
BJCHI,20200102,1.93,1.95,1.9,1.94,432100
BKD,20200102,2.68,2.68,2.68,2.68,800
BKER,20200102,9.5,9.5,9.35,9.4,199600
BKI,20200102,293,294,293,294,1400
BKKCP,20200102,13.1,13.2,13.1,13.2,10400
BLA,20200102,20.6,20.9,20.6,20.9,378100
BLAND,20200102,1.34,1.38,1.34,1.38,15506700
BM,20200102,1.89,1.9,1.89,1.9,13300
BOFFICE,20200102,16.7,16.7,16.7,16.7,10200
BOL,20200102,2.9,2.96,2.9,2.94,546500
BPP,20200102,17.8,18.1,17.7,18,2444500
BR,20200102,2.5,2.52,2.48,2.48,336400
BROCK,20200102,1.65,1.67,1.65,1.67,20100
BROOK,20200102,0.43,0.44,0.43,0.44,1340800
BRR,20200102,3.9,3.92,3.84,3.92,57600
BRRGIF,20200102,8.2,8.3,8.2,8.3,24900
BSBM,20200102,0.91,0.92,0.9,0.92,338900
BSM,20200102,0.35,0.36,0.35,0.35,979100
BTS,20200102,13.2,13.5,13.2,13.4,47209300
BTSGIF,20200102,9.95,10,9.9,9.95,3819600
BTW,20200102,0.75,0.77,0.75,0.76,203900
BWG,20200102,0.6,0.62,0.6,0.6,5412900
CAZ,20200102,2.5,2.58,2.5,2.58,627900
CBG,20200102,84.5,85,82.75,83,2756400
CCET,20200102,1.88,1.88,1.84,1.86,1095900
CCP,20200102,0.29,0.3,0.28,0.3,677600
CEN,20200102,0.6,0.6,0.59,0.6,66600
CENTEL,20200102,25,25.25,24.5,24.6,3869500
CFRESH,20200102,1.52,1.56,1.52,1.53,144800
CGD,20200102,0.88,0.9,0.87,0.9,851200
CGH,20200102,0.82,0.83,0.82,0.83,56500
CHAYO,20200102,5.4,5.5,5.1,5.15,9341100
CHEWA,20200102,0.48,0.49,0.47,0.49,2511100
CHG,20200102,2.58,2.62,2.56,2.6,27699600
CHO,20200102,0.71,0.72,0.7,0.71,1018500
CHOTI,20200102,79.25,80,78.75,80,900
CHOW,20200102,1.45,1.47,1.39,1.4,135400
CI,20200102,0.86,0.89,0.84,0.84,35000
CIG,20200102,0.23,0.23,0.22,0.22,67000
CIMBT,20200102,0.53,0.54,0.52,0.52,1914300
CITY,20200102,2,2.02,2,2.02,500
CK,20200102,19,19.4,19,19.4,12573900
CKP,20200102,4.96,5.05,4.96,5,7885900
CM,20200102,2.76,2.82,2.76,2.76,37800
CMAN,20200102,1.61,1.69,1.52,1.54,14773700
CMC,20200102,0.82,0.84,0.82,0.84,569600
CMO,20200102,1.24,1.25,1.22,1.25,109200
CMR,20200102,2.02,2.04,2,2.04,4100
CNS,20200102,2.5,2.5,2.48,2.5,1955100
CNT,20200102,1.47,1.49,1.45,1.48,24800
COL,20200102,18.9,18.9,18.7,18.8,42300
COLOR,20200102,1.07,1.07,1.05,1.07,7300
COM7,20200102,26.75,26.75,24.9,25,11334000
COMAN,20200102,2.62,2.62,2.52,2.54,207700
COTTO,20200102,1.55,1.55,1.52,1.52,154900
CPALL,20200102,72.5,73.25,71,71,59974000
CPF,20200102,27.5,28,27.5,27.75,18209000
CPI,20200102,1.64,1.65,1.64,1.64,146900
CPL,20200102,0.93,0.93,0.89,0.9,16000
CPN,20200102,62.25,63,61.5,62,6506000
CPNCG,20200102,12.5,12.5,12.4,12.5,256900
CPNREIT,20200102,32.75,33.5,32.5,33.25,605900
CPR,20200102,3.36,3.4,3.36,3.36,169000
CPT,20200102,0.8,0.82,0.8,0.82,326800
CPTGF,20200102,13,13,13,13,750200
CPW,20200102,1.81,1.9,1.81,1.88,9677800
CRANE,20200102,1.8,1.81,1.8,1.8,600
CRD,20200102,0.69,0.69,0.63,0.64,101400
CSC,20200102,52.75,52.75,52.25,52.5,16200
CSP,20200102,0.72,0.77,0.71,0.71,74000
CSS,20200102,1.42,1.43,1.4,1.42,781400
CTARAF,20200102,5.6,5.65,5.6,5.65,24300
CTW,20200102,5.3,5.5,5.3,5.5,14000
CWT,20200102,2.12,2.16,2.12,2.14,29200
D,20200102,3.94,3.96,3.92,3.92,56900
DCC,20200102,1.9,1.9,1.84,1.87,1531300
DCON,20200102,0.35,0.35,0.34,0.34,1119500
DCORP,20200102,0.46,0.46,0.45,0.46,262700
DDD,20200102,24,24.3,23.7,23.9,6600
DELTA,20200102,53.5,53.75,51.25,51.75,1077800
DEMCO,20200102,2.66,2.68,2.66,2.68,186100
DIF,20200102,16.4,16.6,16.4,16.5,7641500
DIMET,20200102,0.36,0.36,0.34,0.35,610700
DOD,20200102,7.3,7.7,7.3,7.7,941300
DOHOME,20200102,9.75,10,9.7,9.7,9209800
DREIT,20200102,6.45,6.45,6.4,6.4,242200
DRT,20200102,6.25,6.3,6.25,6.25,315600
DTAC,20200102,53.5,54,52.75,53.25,4413600
DTC,20200102,9.7,9.75,9.65,9.7,24500
DTCI,20200102,24,24.4,24,24.4,400
EA,20200102,44,44.5,43.5,44.5,7603100
EASON,20200102,1.54,1.55,1.53,1.54,1400
EASTW,20200102,11,11.1,11,11.1,766900
ECF,20200102,1.23,1.23,1.2,1.21,16533500
ECL,20200102,1.15,1.16,1.15,1.16,375800
EE,20200102,0.58,0.6,0.57,0.59,5268000
EFORL,20200102,0.04,0.05,0.04,0.04,1126100
EGATIF,20200102,12.4,12.6,12.4,12.6,1789400
EGCO,20200102,330,334,327,331,1039900
EIC,20200102,0.04,0.04,0.03,0.04,501200
EKH,20200102,6.7,6.75,6.7,6.7,364200
EMC,20200102,0.12,0.13,0.12,0.12,9029900
EPCO,20200102,3.66,3.7,3.64,3.66,461700
EPG,20200102,6.25,6.35,6.2,6.3,2007500
ERW,20200102,5.9,5.9,5.5,5.55,26866400
ERWPF,20200102,5.15,5.15,5.15,5.15,100
ESSO,20200102,8.65,9.3,8.65,9.25,47844700
ESTAR,20200102,0.36,0.36,0.35,0.36,71900
ETE,20200102,0.83,0.88,0.83,0.84,1256000
EVER,20200102,0.27,0.29,0.26,0.27,9677200
F&D,20200102,18,18,18,18,100
FANCY,20200102,0.58,0.58,0.51,0.58,132100
FLOYD,20200102,1.42,1.42,1.37,1.38,217200
FMT,20200102,23.6,23.6,23.6,23.6,200
FN,20200102,1.07,1.08,1.06,1.07,872500
FNS,20200102,2.22,2.22,2.18,2.22,12600
FORTH,20200102,5.65,5.7,5.65,5.7,67500
FPI,20200102,2,2,1.95,1.98,144900
FPT,20200102,15.2,15.7,15.1,15.6,49300
FSMART,20200102,6.4,6.5,6.4,6.45,424400
FSS,20200102,1.58,1.58,1.58,1.58,3500
FTE,20200102,2.02,2.04,2.02,2.04,119400
FTREIT,20200102,15.7,15.8,15.4,15.6,625300
FUTUREPF,20200102,25,25.25,25,25.25,6800
FVC,20200102,0.4,0.4,0.39,0.4,4729200
GBX,20200102,0.5,0.54,0.5,0.53,1566800
GC,20200102,5.3,5.9,5.3,5.8,255400
GCAP,20200102,2.2,2.22,2.18,2.2,727700
GEL,20200102,0.15,0.15,0.14,0.15,2094400
GENCO,20200102,0.55,0.56,0.55,0.55,33500
GFPT,20200102,12.4,12.7,12.4,12.6,5248000
GGC,20200102,12.6,13.4,12.6,13.4,9413300
GIFT,20200102,2.3,2.42,2.3,2.34,1220500
GJS,20200102,0.13,0.13,0.12,0.13,1179100
GL,20200102,4.26,4.34,4.26,4.28,1238300
GLAND,20200102,2.44,2.44,2.42,2.44,80300
GLANDRT,20200102,13.1,13.2,13.1,13.2,27100
GLOBAL,20200102,16.3,16.3,15.9,16.1,10369500
GLOCON,20200102,0.73,0.73,0.72,0.72,310300
GOLD,20200102,8.45,8.45,8.4,8.45,91500
GPI,20200102,1.82,1.84,1.81,1.83,179400
GPSC,20200102,86,86.75,85.25,86.25,9798400
GRAMMY,20200102,10.3,10.3,10.1,10.3,2700
GRAND,20200102,0.77,0.78,0.76,0.76,310200
GREEN,20200102,0.8,0.83,0.8,0.83,192100
GSC,20200102,0.78,0.78,0.77,0.78,236900
GTB,20200102,0.71,0.71,0.7,0.71,197900
GULF,20200102,166,170,166,169,6911200
GUNKUL,20200102,2.98,3,2.94,2.96,13845200
GVREIT,20200102,16.2,16.4,16.2,16.4,805300
HANA,20200102,34.5,34.5,32.25,33.25,6706700
HARN,20200102,2.3,2.3,2.28,2.28,422700
HFT,20200102,3.04,3.06,3.02,3.02,160100
HMPRO,20200102,16.1,16.2,15.6,15.9,22174700
HPF,20200102,4.94,4.94,4.94,4.94,259000
HPT,20200102,0.64,0.65,0.64,0.65,11000
HREIT,20200102,8.9,8.95,8.85,8.95,172900
HTC,20200102,22.9,22.9,22.6,22.6,192400
HTECH,20200102,3.3,3.3,3.22,3.26,102900
HUMAN,20200102,7.7,7.75,7.7,7.75,134300
HYDRO,20200102,0.32,0.32,0.31,0.31,3500
ICHI,20200102,5.05,5.05,4.94,4.96,1792400
ICN,20200102,1.61,1.61,1.58,1.59,69900
IFS,20200102,3.12,3.14,3.12,3.14,50700
IHL,20200102,3.76,3.8,3.7,3.78,416800
III,20200102,5.25,5.25,5.1,5.15,40700
ILINK,20200102,3.84,3.84,3.78,3.84,108300
ILM,20200102,14.2,14.7,14.2,14.4,597800
IMH,20200102,4.46,4.5,4.32,4.32,2525800
IMPACT,20200102,23.4,24.1,23.4,23.8,515400
INET,20200102,2.18,2.2,2.16,2.16,12800
INGRS,20200102,0.54,0.54,0.53,0.53,381100
INOX,20200102,0.63,0.63,0.62,0.63,22100
INSET,20200102,2.6,2.6,2.56,2.58,1164300
INTUCH,20200102,57.5,59,57,58.5,7990300
IP,20200102,6.45,6.55,6.2,6.25,1768700
IRC,20200102,15.2,15.8,15.2,15.8,2500
IRCP,20200102,0.49,0.5,0.49,0.5,488300
IRPC,20200102,3.68,4,3.68,3.94,480402300
IT,20200102,2.9,2.9,2.9,2.9,20000
ITD,20200102,1.5,1.53,1.49,1.51,18412900
ITEL,20200102,2.48,2.54,2.46,2.5,470600
IVL,20200102,35.25,37,35,36.25,56815100
J,20200102,0.87,0.88,0.83,0.85,22100
JAS,20200102,5,5.1,4.98,5.05,16730400
JASIF,20200102,9.7,9.7,9.6,9.65,14420400
JCK,20200102,0.91,0.92,0.9,0.9,162000
JCKH,20200102,0.25,0.26,0.25,0.26,16300
JKN,20200102,5.35,5.6,5.3,5.55,3962600
JMART,20200102,8.35,8.45,8.3,8.45,1867700
JMT,20200102,20,21.4,20,21.3,8413200
JSP,20200102,0.28,0.29,0.28,0.28,178900
JTS,20200102,1.01,1.02,1.01,1.01,2600
JUBILE,20200102,18.8,19.5,18.7,19.5,207600
JWD,20200102,7.9,7.95,7.85,7.9,559800
K,20200102,1.17,1.24,1.16,1.2,443900
KAMART,20200102,3.88,3.98,3.86,3.88,694700
KASET,20200102,1.17,1.23,1.17,1.22,11600
KBANK,20200102,151.5,153.5,150.5,153.5,4994500
KBS,20200102,3.6,3.62,3.58,3.6,20200
KCAR,20200102,10.9,11,10.9,11,12200
KCE,20200102,24.4,24.5,22.4,23.2,43574700
KCM,20200102,0.56,0.59,0.56,0.57,822800
KDH,20200102,91.5,91.5,91.5,91.5,100
KGI,20200102,4.46,4.52,4.46,4.52,2296400
KIAT,20200102,0.29,0.29,0.28,0.29,778100
KKC,20200102,0.8,0.8,0.8,0.8,8700
KKP,20200102,66.25,67,66,67,2800400
KOOL,20200102,0.89,0.91,0.88,0.91,230000
KSL,20200102,2.24,2.24,2.2,2.24,2134400
KTB,20200102,16.5,16.8,16.4,16.7,30584100
KTC,20200102,39.5,39.5,38.75,39.25,2520400
KTIS,20200102,4.2,4.2,4.18,4.2,45500
KUMWEL,20200102,0.78,0.79,0.77,0.78,26900
KUN,20200102,1.02,1.02,1,1.02,1396400
KWG,20200102,1.66,1.71,1.66,1.67,74500
KWM,20200102,0.86,0.86,0.82,0.82,266500
KYE,20200102,255,255,255,255,100
L&E,20200102,1.95,1.98,1.95,1.96,73900
LALIN,20200102,5.1,5.25,5.1,5.25,852300
LANNA,20200102,7.7,7.8,7.5,7.8,308000
LDC,20200102,1.04,1.05,1.02,1.03,114900
LEE,20200102,2.16,2.18,2.12,2.16,81200
LH,20200102,9.8,10.3,9.8,10.1,54709900
LHFG,20200102,1.37,1.38,1.35,1.37,5862200
LHHOTEL,20200102,19.5,19.6,19.5,19.6,67500
LHK,20200102,2.72,2.76,2.7,2.74,120300
LHPF,20200102,8.75,8.8,8.6,8.8,209100
LHSC,20200102,18.4,18.4,18.4,18.4,158600
LIT,20200102,4.52,4.64,4.52,4.62,401000
LOXLEY,20200102,1.37,1.39,1.36,1.38,606500
LPH,20200102,4.8,4.84,4.8,4.84,164400
LPN,20200102,4.4,4.78,4.4,4.68,16736300
LRH,20200102,42,42,40.75,41.75,5000
LST,20200102,5.2,5.3,5.15,5.15,529300
LUXF,20200102,8.35,8.45,8.35,8.45,15000
M,20200102,70.5,70.5,69.25,69.75,445200
M-CHAI,20200102,190,190,190,190,200
M-PAT,20200102,5.45,5.7,5.4,5.7,14200
M-STOR,20200102,6.65,6.65,6.6,6.6,13500
MACO,20200102,1.44,1.44,1.42,1.42,886200
MAJOR,20200102,25.25,25.5,24.9,25,1047300
MAKRO,20200102,31.25,32.25,31,31.75,882900
MALEE,20200102,6.6,6.85,6.5,6.8,201400
MATCH,20200102,1.56,1.57,1.56,1.56,5000
MATI,20200102,4.64,4.64,4.64,4.64,1200
MAX,20200102,0.02,0.02,0.01,0.01,5570700
MBAX,20200102,3.1,3.1,3.04,3.1,16600
MBK,20200102,21.2,22,21.1,21.6,1255700
MBKET,20200102,6.7,6.75,6.7,6.75,48500
MC,20200102,7.45,7.75,7.4,7.75,2785600
MCOT,20200102,9.75,9.75,9.7,9.75,12200
MCS,20200102,9.65,9.95,9.65,9.95,2340400
MDX,20200102,2.84,2.88,2.82,2.88,10100
MEGA,20200102,26.25,27.25,26,27.25,1156900
META,20200102,1.29,1.31,1.28,1.3,12298400
METCO,20200102,175,176,175,175,1100
MFC,20200102,15.4,15.4,15.3,15.4,50400
MFEC,20200102,3.28,3.34,3.28,3.34,123700
MGT,20200102,1.75,1.75,1.74,1.74,30300
MIDA,20200102,0.53,0.53,0.52,0.53,56400
MILL,20200102,0.71,0.71,0.69,0.7,1787500
MINT,20200102,36.25,36.75,35.5,35.75,13108200
MIT,20200102,3,3.08,2.98,3.06,35700
MITSIB,20200102,1.48,1.5,1.48,1.49,226500
MJD,20200102,3.02,3.04,2.96,3.04,214100
MJLF,20200102,11.1,11.1,11,11,151400
MK,20200102,3.08,3.08,3.08,3.08,133400
ML,20200102,0.89,0.89,0.88,0.88,30100
MM,20200102,2.3,2.38,2.3,2.38,21500
MNIT,20200102,1.6,1.64,1.57,1.64,15500
MNRF,20200102,3.2,3.2,3.1,3.1,5600
MODERN,20200102,2.54,2.6,2.54,2.56,100300
MONO,20200102,1.13,1.14,1.11,1.12,3277800
MOONG,20200102,3.76,3.78,3.7,3.76,87200
MORE,20200102,0.39,0.4,0.38,0.39,6939200
MPG,20200102,0.4,0.4,0.38,0.39,249600
MPIC,20200102,1.73,1.79,1.72,1.79,14900
MSC,20200102,5.25,5.35,5.25,5.35,138400
MTC,20200102,63.75,64.5,63.5,64.25,3434300
MTI,20200102,82.5,84.75,82.5,84.75,700
MVP,20200102,1.78,1.83,1.73,1.73,435200
NBC,20200102,0.49,0.49,0.48,0.49,956400
NCH,20200102,0.83,0.84,0.83,0.84,15300
NCL,20200102,1.05,1.08,1.05,1.08,2300
NDR,20200102,1.02,1.03,1.01,1.01,8600
NEP,20200102,0.26,0.26,0.25,0.25,173600
NER,20200102,2.8,2.86,2.78,2.8,38415600
NETBAY,20200102,32.25,32.75,32.25,32.5,173700
NEWS,20200102,0.01,0.01,0.01,0.01,1545100
NEX,20200102,2.88,2.9,2.84,2.9,903000
NINE,20200102,2.1,2.1,2.04,2.04,17500
NNCL,20200102,2.18,2.2,2.16,2.2,841300
NOBLE,20200102,16.2,16.5,16.2,16.3,99800
NOK,20200102,2,2.08,2,2.08,25200
NTV,20200102,49,49.25,49,49.25,3200
NUSA,20200102,0.5,0.5,0.44,0.44,17642300
NVD,20200102,1.98,1.98,1.87,1.94,8700
NWR,20200102,0.45,0.46,0.44,0.44,6473500
NYT,20200102,3.92,3.92,3.82,3.86,614700
OCEAN,20200102,1.17,1.19,1.17,1.19,463900
OGC,20200102,25,26,25,26,1000
OISHI,20200102,101,101,100,100.5,3500
ORI,20200102,7.05,7.2,6.9,7.15,10258900
OSP,20200102,40.5,41,40,40.5,13876100
OTO,20200102,2.8,2.88,2.8,2.86,230900
PACE,20200102,0.06,0.08,0.06,0.08,2546200
PAF,20200102,0.62,0.62,0.61,0.62,35100
PAP,20200102,2.22,2.26,2.22,2.26,84600
PATO,20200102,11.5,11.5,11.3,11.4,23000
PB,20200102,67,70.5,67,69,6300
PCSGH,20200102,5.95,5.95,5.95,5.95,100
PDG,20200102,2.94,2.94,2.94,2.94,3300
PDI,20200102,6.6,6.75,6.55,6.75,169200
PDJ,20200102,1.54,1.55,1.5,1.51,66800
PERM,20200102,0.74,0.75,0.74,0.75,70000
PF,20200102,0.81,0.83,0.8,0.82,8861700
PHOL,20200102,1.79,1.8,1.78,1.78,13100
PIMO,20200102,1.23,1.23,1.21,1.22,241000
PJW,20200102,1.21,1.24,1.2,1.24,23000
PK,20200102,1.34,1.35,1.32,1.32,92000
PL,20200102,2.7,2.7,2.68,2.68,5100
PLANB,20200102,7.7,7.7,7.5,7.5,9565200
PLANET,20200102,1.14,1.17,1.13,1.13,34500
PLAT,20200102,4.06,4.16,4.06,4.14,453500
PLE,20200102,0.87,0.88,0.86,0.87,888400
PM,20200102,7.8,7.8,7.7,7.75,507200
POPF,20200102,13,13,12.9,13,64200
PORT,20200102,2.1,2.3,2.1,2.28,10014100
POST,20200102,2,2.2,1.97,2.2,2600
PPF,20200102,11.4,11.4,11.3,11.3,300
PPM,20200102,0.95,0.95,0.92,0.95,20000
PPP,20200102,2.1,2.1,2.1,2.1,300
PPPM,20200102,0.54,0.56,0.54,0.55,77700
PPS,20200102,0.46,0.46,0.45,0.45,211500
PR9,20200102,8,8.25,7.95,8.2,494400
PRAKIT,20200102,10.1,10.2,10,10.2,25200
PREB,20200102,8.85,8.85,8.75,8.75,12800
PRECHA,20200102,1.1,1.1,1.07,1.09,5300
PRIME,20200102,0.38,0.38,0.37,0.38,330600
PRIN,20200102,1.5,1.51,1.49,1.51,93600
PRINC,20200102,4.88,4.9,4.82,4.86,1230900
PRM,20200102,7.05,7.35,7.05,7.3,10760700
PROUD,20200102,1.55,1.55,1.42,1.47,700
PSH,20200102,14.9,15.5,14.8,15.4,2124300
PSL,20200102,7.6,7.9,7.55,7.6,5685200
PSTC,20200102,0.74,0.75,0.73,0.74,18090500
PT,20200102,4.22,4.28,4.22,4.26,92400
PTG,20200102,16.2,16.3,16.1,16.3,18453000
PTL,20200102,14.6,14.7,14.5,14.6,255600
PTT,20200102,44.25,45.5,44,45.5,59084700
PTTEP,20200102,125.5,128.5,125,127.5,14068500
PTTGC,20200102,57.5,59.25,57.25,59.25,29326100
PYLON,20200102,4.74,4.82,4.74,4.78,1846600
QH,20200102,2.56,2.64,2.56,2.62,57485700
QHHR,20200102,9.5,9.5,9.35,9.4,96400
QHPF,20200102,13.5,13.5,13.4,13.4,1172500
QLT,20200102,4.32,4.36,4.32,4.32,63900
QTC,20200102,4.22,4.22,4.14,4.16,113500
RAM,20200102,151,151,150,150,2700
RATCH,20200102,68.75,70,68.5,69.75,3132800
RBF,20200102,4.44,4.48,4.4,4.46,13044800
RCI,20200102,3.46,3.68,3.46,3.68,11800
RCL,20200102,3.58,3.58,3.5,3.52,325400
RICHY,20200102,0.9,0.9,0.88,0.9,397000
RJH,20200102,25.25,25.75,25,25.25,379700
RML,20200102,1,1.01,0.99,1,1339500
ROBINS,20200102,66,66,65.5,65.75,1829600
ROH,20200102,34.5,34.5,34,34,5700
ROJNA,20200102,5.1,5.2,5.1,5.2,614400
RP,20200102,1.5,1.5,1.46,1.48,107300
RPC,20200102,0.66,0.67,0.65,0.66,408100
RPH,20200102,6.55,6.6,6.4,6.6,452900
RS,20200102,12.3,12.6,12.1,12.3,11473200
RSP,20200102,3.24,3.28,3.2,3.26,54700
RWI,20200102,1.5,1.56,1.49,1.56,1048200
S,20200102,2.58,2.66,2.58,2.62,3685000
S&J,20200102,25.25,25.25,25,25,200
S11,20200102,7.35,7.4,7.3,7.35,251200
SAAM,20200102,1.01,1.04,0.97,0.98,964500
SABINA,20200102,23.9,24,23.5,23.5,517600
SAM,20200102,0.37,0.37,0.34,0.36,129900
SAMART,20200102,6.85,6.95,6.8,6.85,679200
SAMCO,20200102,1.67,1.72,1.67,1.72,13000
SAMTEL,20200102,7.95,8.1,7.95,8.05,80900
SANKO,20200102,0.83,0.85,0.83,0.84,187700
SAPPE,20200102,20,20,19.1,19.1,587200
SAT,20200102,15.7,15.8,15.5,15.7,67300
SAUCE,20200102,24,24,22.5,22.5,12700
SAWAD,20200102,69,69.5,67.75,68,3269300
SAWANG,20200102,9.6,12.2,9.6,9.7,1200
SC,20200102,2.28,2.38,2.26,2.34,4076800
SCB,20200102,122,122.5,121.5,122.5,3938300
SCC,20200102,392,394,390,392,956900
SCCC,20200102,191,192,191,191.5,7400
SCG,20200102,3.88,3.88,3.86,3.86,3300
SCI,20200102,1.58,1.58,1.53,1.53,428600
SCN,20200102,2.16,2.16,2.08,2.1,2138600
SCP,20200102,5.95,5.95,5.85,5.95,135000
SDC,20200102,0.2,0.2,0.19,0.2,125700
SE,20200102,1.69,1.84,1.69,1.84,57100
SE-ED,20200102,1.87,1.87,1.62,1.67,13100
SEAFCO,20200102,6.05,6.25,6,6.25,4909400
SEAOIL,20200102,4.1,4.16,4.08,4.08,49700
SEG,20200102,36.5,36.5,35.5,35.5,1000
SELIC,20200102,2.68,2.68,2.68,2.68,32300
SENA,20200102,2.72,2.84,2.7,2.84,1266000
SF,20200102,5.5,5.7,5.45,5.6,637200
SFLEX,20200102,3.66,3.74,3.62,3.74,3136500
SGF,20200102,0.75,0.75,0.72,0.72,2323300
SGP,20200102,9.75,10.1,9.75,10.1,13760300
SHANG,20200102,70,71,69.5,70,2700
SHR,20200102,3.18,3.26,3.16,3.26,9457600
SHREIT,20200102,5.8,5.85,5.8,5.85,19900
SIAM,20200102,1.76,1.76,1.65,1.68,162900
SIMAT,20200102,1.56,1.6,1.55,1.58,7479300
SINGER,20200102,5.5,5.55,5.45,5.5,1214800
SIRI,20200102,1.1,1.15,1.09,1.14,44446100
SIS,20200102,7.6,7.75,7.55,7.7,70400
SISB,20200102,9.55,9.8,9.45,9.6,3660900
SITHAI,20200102,0.72,0.75,0.71,0.75,346300
SKE,20200102,0.87,0.88,0.85,0.87,512800
SKN,20200102,2.14,2.14,2.1,2.12,266500
SKR,20200102,5.05,5.15,5.05,5.15,287700
SKY,20200102,14.4,14.5,14.2,14.2,84500
SLP,20200102,0.47,0.47,0.47,0.47,2800
SMART,20200102,0.92,0.92,0.9,0.92,163400
SMIT,20200102,3.78,3.8,3.74,3.8,156000
SMK,20200102,30,30,30,30,2600
SMPC,20200102,6.3,6.45,6.3,6.4,95200
SMT,20200102,1.17,1.2,1.17,1.18,549500
SNC,20200102,10,10.1,9.95,10,230500
SNP,20200102,15.7,15.8,15.7,15.7,3100
SOLAR,20200102,1.55,1.55,1.52,1.52,103200
SONIC,20200102,1.03,1.04,1.02,1.03,233800
SORKON,20200102,50.5,50.75,50.5,50.75,200
SPA,20200102,14.6,14.9,14.6,14.9,120900
SPACK,20200102,1.12,1.12,1.05,1.11,13700
SPALI,20200102,17.9,19.2,17.9,18.8,32559600
SPC,20200102,57,57,54.75,55.25,1300
SPCG,20200102,19.6,19.7,19.2,19.3,776100
SPF,20200102,23,23.1,23,23.1,64900
SPG,20200102,12.6,12.6,12.2,12.3,4900
SPI,20200102,68,68,68,68,500
SPORT,20200102,0.16,0.16,0.16,0.16,211700
SPRC,20200102,10.8,11.1,10.8,10.9,25561100
SPRIME,20200102,13.3,13.4,13.1,13.1,33000
SPVI,20200102,3.04,3.1,2.94,3.02,5695600
SQ,20200102,1.67,1.67,1.61,1.62,1977000
SR,20200102,0.94,1.03,0.94,1.01,8000
SRICHA,20200102,6.95,6.95,6.9,6.9,17700
SRIPANWA,20200102,11.4,11.4,11.2,11.2,70500
SSC,20200102,32.25,32.25,32.25,32.25,100
SSP,20200102,7.3,7.4,7.3,7.3,98800
SSSC,20200102,2.1,2.1,2.1,2.1,15200
SSTRT,20200102,5.95,5.95,5.95,5.95,12100
STA,20200102,10.1,10.4,10,10.3,3095500
STANLY,20200102,179.5,182,179.5,182,5500
STAR,20200102,3.98,4.06,3.98,4.04,76700
STARK,20200102,2.12,2.16,2.06,2.12,4128000
STC,20200102,0.63,0.63,0.61,0.62,1824300
STEC,20200102,14.3,14.9,14.3,14.7,29119600
STI,20200102,4.86,4.86,4.4,4.62,27100
STPI,20200102,6.8,6.85,6.75,6.8,5836300
SUC,20200102,42.75,43.25,42.75,43.25,1500
SUN,20200102,1.72,1.76,1.72,1.74,91900
SUPER,20200102,0.56,0.56,0.55,0.55,56899900
SUPEREIF,20200102,11.3,11.4,11.3,11.3,71400
SUSCO,20200102,2.8,2.86,2.8,2.86,345400
SUTHA,20200102,1.93,1.93,1.9,1.93,32400
SVH,20200102,450,450,450,450,300
SVI,20200102,3.6,3.62,3.52,3.54,2392200
SVOA,20200102,0.99,1,0.99,1,328000
SWC,20200102,3.54,3.6,3.54,3.58,55100
SYMC,20200102,3.14,3.14,3.14,3.14,100
SYNEX,20200102,7.55,7.55,7.4,7.4,307900
SYNTEC,20200102,1.9,1.91,1.87,1.88,1655900
T,20200102,0.06,0.06,0.05,0.05,720300
TACC,20200102,4.4,4.44,4.34,4.4,2427000
TAE,20200102,3.28,3.3,3.26,3.28,1549800
TAKUNI,20200102,0.42,0.43,0.41,0.42,655900
TAPAC,20200102,6.35,6.65,6.2,6.65,3675100
TASCO,20200102,21.2,21.3,21.1,21.1,2959300
TBSP,20200102,13.8,13.9,13.8,13.9,1300
TC,20200102,3.2,3.24,3.18,3.24,42800
TCAP,20200102,53.75,54,53,53.25,4538300
TCC,20200102,0.23,0.23,0.22,0.22,1743600
TCCC,20200102,20.5,20.6,20.5,20.6,8000
TCJ,20200102,3.66,3.68,3.66,3.68,200
TCMC,20200102,2.04,2.04,2.02,2.02,160100
TEAM,20200102,0.88,0.9,0.87,0.87,402300
TEAMG,20200102,2.28,2.3,2.26,2.28,521300
TFFIF,20200102,12.2,12.3,12.1,12.3,4301600
TFG,20200102,4.2,4.32,4.2,4.32,3051700
TFI,20200102,0.08,0.08,0.08,0.08,100
TFMAMA,20200102,183,183.5,183,183.5,5900
TGPRO,20200102,0.06,0.07,0.06,0.06,2549700
TH,20200102,0.61,0.62,0.6,0.61,141500
THAI,20200102,6.85,7,6.85,6.9,1787000
THANA,20200102,1.2,1.26,1.2,1.26,89000
