<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TCC-W5,20200102,0.14,0.16,0.14,0.14,54000
TCJ-W2,20200102,0.14,0.16,0.14,0.15,371400
TFG-W2,20200102,0.56,0.58,0.56,0.58,757500
TGPRO-W3,20200102,0.01,0.01,0.01,0.01,100
TH-W2,20200102,0.07,0.08,0.06,0.06,365900
TRITN-W3,20200102,0.09,0.09,0.09,0.09,10000
TTCL-W1,20200102,0.46,0.46,0.44,0.45,271100
TVD-W2,20200102,0.2,0.21,0.19,0.2,81200
TWZ-W5,20200102,0.01,0.01,0.01,0.01,500
UAC-W2,20200102,0.23,0.23,0.21,0.22,19300
UKEM-W2,20200102,0.19,0.2,0.18,0.18,53100
VGI-W2,20200102,1.6,1.63,1.6,1.61,22494400
VIBHA-W2,20200102,0.8,0.82,0.8,0.81,596400
VIBHA-W3,20200102,0.18,0.2,0.18,0.19,4232500
WAVE-W1,20200102,0.14,0.15,0.14,0.15,95200
WHA-W1,20200102,4.4,4.7,4.32,4.54,1277500
WIIK-W2,20200102,0.14,0.14,0.13,0.14,260400
ZMICO-W4,20200102,0.09,0.1,0.08,0.09,5275200
!AGRO,20200102,425.46,428.32,424.62,425.35,145262900
!CONSUMP,20200102,93.58,93.85,92.59,92.88,3487700
!FINCIAL,20200102,173.74,175.29,173.37,175.18,702426400
!INDUS,20200102,100.98,103.39,100.79,102.99,157139300
!PROPCON,20200102,123.03,123.99,122.85,123.52,748433900
!RESOURC,20200102,220.7,224.88,220.34,224.76,872457900
!SERVICE,20200102,504.62,506.03,502.67,503.75,605709900
!TECH,20200102,165.47,167.21,164.43,166.71,207308000
$AGRI,20200102,149.79,151.96,148.98,151.65,55173900
$AUTO,20200102,395.23,398.68,395.05,397.18,3035200
$BANK,20200102,442.11,446.49,440.93,446.19,484958000
$COMM,20200102,38651.7,38818.9,38109.1,38114.7,260915600
$CONMAT,20200102,9945.31,9987.48,9919.59,9953.47,45621600
$CONS,20200102,66.98,68.1,66.82,67.88,108666800
$ENERG,20200102,25173.7,25650.5,25132.3,25635.8,872288700
$ETRON,20200102,1290.08,1292.82,1231.23,1248.73,57206600
$FASHION,20200102,608.05,609.13,599.64,601.36,729500
$FIN,20200102,4369.59,4419.93,4360.59,4413.31,211407600
$FOOD,20200102,12374.3,12454.8,12347.9,12363.7,90089100
$HELTH,20200102,5615.52,5645.81,5576.73,5637.99,70153200
$HOME,20200102,21.31,21.36,21.12,21.12,2523800
$ICT,20200102,161.4,163.77,160.55,163.26,150101400
$IMM,20200102,46.36,47.01,45.37,46.4,8540100
$INSUR,20200102,10894.4,10935.7,10830,10852.2,6060700
$MEDIA,20200102,53.8,54.62,53.73,54.27,75132400
$MINE,20200102,5.48,5.61,5.44,5.61,169200
$PAPER,20200102,2672.47,2742.8,2672.47,2728.74,212100
$PERSON,20200102,245.19,247.46,244.73,246.13,234400
$PETRO,20200102,972.45,1004.8,969.59,999.12,114353500
$PF&REIT,20200102,235.37,236.33,234.38,236.33,8345500
$PKG,20200102,3029.09,3047.53,3014.87,3043.68,6962300
$PROF,20200102,153.39,156.05,152.32,153.93,9628700
$PROP,20200102,252.49,255.68,251.95,253.79,585800100
$STEEL,20200102,22.7,22.73,22.31,22.58,24036200
$TOURISM,20200102,476.03,477.58,466.63,467.96,40728000
$TRANS,20200102,408.46,413.51,407.18,411.76,149152000
MAI,20200102,309.64,312.55,309.58,311.19,215747780
SET,20200102,1584.35,1597.92,1583.18,1595.82,17737424730
SET100,20200102,2350.41,2373.91,2348.22,2368.91,2376731343
SET50,20200102,1072.36,1083.41,1071.16,1081,1749150314
SETHD,20200102,1157.47,1176.24,1156.81,1175.76,999971275
BBL-F,20200102,160.5,163.5,160.5,163,1539500
BTSGIF-F,20200102,9.95,9.95,9.95,9.95,23800
KBANK-F,20200102,151,154,150.5,154,898900
LH-F,20200102,9.9,9.9,9.9,9.9,800
SCC-F,20200102,391,392,391,392,9400
AAVH20,20200102,2.22,2.27,2.22,2.26,45
AAVM20,20200102,2.26,2.26,2.26,2.26,1
ADVANCH20,20200102,212.5,215,212.5,213.56,588
ADVANCM20,20200102,214.76,214.76,214.76,214.76,40
AEONTSH20,20200102,190.4,190.4,190.4,190.4,21
AMATAH20,20200102,20.16,20.5,20.16,20.45,306
AMATAM20,20200102,20.45,20.45,20.45,20.45,1
AOTH20,20200102,74.75,75.45,74.75,75.3,802
AOTM20,20200102,75.49,75.49,75.49,75.49,21
AOTU20,20200102,74.74,74.74,74.74,74.74,80
